#ID	Whisson2007
PHYGONAP_000363-T1	neither
PHYGONAP_000364-T1	neither
PHYGONAP_000365-T1	neither
PHYGONAP_000366-T1	neither
PHYGONAP_000367-T1	neither
PHYGONAP_000368-T1	neither
PHYGONAP_000369-T1	neither
PHYGONAP_000370-T1	neither
PHYGONAP_000371-T1	neither
PHYGONAP_000372-T1	neither
PHYGONAP_000373-T1	neither
PHYGONAP_000374-T1	neither
PHYGONAP_000375-T1	neither
PHYGONAP_000376-T1	neither
PHYGONAP_000377-T1	neither
PHYGONAP_000378-T1	neither
PHYGONAP_000379-T1	neither
PHYGONAP_000380-T1	neither
PHYGONAP_000381-T1	neither
PHYGONAP_000382-T1	neither
PHYGONAP_000383-T1	neither
PHYGONAP_000384-T1	neither
PHYGONAP_000385-T1	neither
PHYGONAP_000386-T1	neither
PHYGONAP_000387-T1	neither
PHYGONAP_000388-T1	neither
PHYGONAP_000389-T1	neither
PHYGONAP_000390-T1	neither
PHYGONAP_000391-T1	neither
PHYGONAP_000392-T1	neither
PHYGONAP_000393-T1	neither
PHYGONAP_000394-T1	neither
PHYGONAP_000395-T1	neither
PHYGONAP_000396-T1	neither
PHYGONAP_000397-T1	neither
PHYGONAP_000398-T1	neither
PHYGONAP_000399-T1	neither
PHYGONAP_000400-T1	neither
PHYGONAP_000401-T1	neither
PHYGONAP_000402-T1	neither
PHYGONAP_000403-T1	neither
PHYGONAP_000404-T1	neither
PHYGONAP_000405-T1	neither
PHYGONAP_000406-T1	neither
PHYGONAP_000407-T1	neither
PHYGONAP_000408-T1	neither
PHYGONAP_000409-T1	neither
PHYGONAP_000410-T1	neither
PHYGONAP_000411-T1	neither
PHYGONAP_000412-T1	neither
PHYGONAP_000413-T1	neither
PHYGONAP_000414-T1	neither
PHYGONAP_000415-T1	neither
PHYGONAP_000416-T1	neither
PHYGONAP_000417-T1	neither
PHYGONAP_000418-T1	neither
PHYGONAP_000419-T1	neither
PHYGONAP_000420-T1	neither
PHYGONAP_000421-T1	neither
PHYGONAP_000422-T1	neither
PHYGONAP_000423-T1	neither
PHYGONAP_000424-T1	neither
PHYGONAP_000425-T1	neither
PHYGONAP_000426-T1	neither
PHYGONAP_000427-T1	neither
PHYGONAP_000428-T1	neither
PHYGONAP_000429-T1	neither
PHYGONAP_000430-T1	neither
PHYGONAP_000431-T1	neither
PHYGONAP_000432-T1	neither
PHYGONAP_000433-T1	neither
PHYGONAP_000434-T1	neither
PHYGONAP_000435-T1	neither
PHYGONAP_000436-T1	neither
PHYGONAP_000437-T1	neither
PHYGONAP_000438-T1	neither
PHYGONAP_000439-T1	neither
PHYGONAP_000440-T1	neither
PHYGONAP_000441-T1	neither
PHYGONAP_000442-T1	neither
PHYGONAP_000443-T1	neither
PHYGONAP_000444-T1	re
PHYGONAP_000445-T1	neither
PHYGONAP_000446-T1	neither
PHYGONAP_000447-T1	neither
PHYGONAP_000448-T1	neither
PHYGONAP_000449-T1	neither
PHYGONAP_000450-T1	neither
PHYGONAP_000451-T1	neither
PHYGONAP_000452-T1	neither
PHYGONAP_000453-T1	neither
PHYGONAP_000454-T1	neither
PHYGONAP_000455-T1	neither
PHYGONAP_000456-T1	neither
PHYGONAP_000457-T1	neither
PHYGONAP_000458-T1	neither
PHYGONAP_000459-T1	neither
PHYGONAP_000460-T1	neither
PHYGONAP_000461-T1	neither
PHYGONAP_000462-T1	neither
PHYGONAP_000463-T1	neither
PHYGONAP_000464-T1	neither
PHYGONAP_000465-T1	neither
