#ID	Bhattacharjee2006
PHYSUEDO_000220-T1	N
PHYSUEDO_000221-T1	N
PHYSUEDO_000222-T1	N
PHYSUEDO_000223-T1	N
PHYSUEDO_000224-T1	N
PHYSUEDO_000225-T1	N
PHYSUEDO_000226-T1	N
PHYSUEDO_000227-T1	N
PHYSUEDO_000228-T1	N
PHYSUEDO_000229-T1	N
PHYSUEDO_000230-T1	N
PHYSUEDO_000231-T1	N
PHYSUEDO_000232-T1	N
PHYSUEDO_000233-T1	N
PHYSUEDO_000234-T1	N
PHYSUEDO_000235-T1	N
PHYSUEDO_000236-T1	N
PHYSUEDO_000237-T1	N
PHYSUEDO_000238-T1	N
PHYSUEDO_000239-T1	N
PHYSUEDO_000240-T1	N
PHYSUEDO_000241-T1	N
PHYSUEDO_000242-T1	N
PHYSUEDO_000243-T1	N
PHYSUEDO_000244-T1	N
PHYSUEDO_000245-T1	N
PHYSUEDO_000246-T1	N
PHYSUEDO_000247-T1	N
PHYSUEDO_000248-T1	N
PHYSUEDO_000249-T1	N
PHYSUEDO_000250-T1	N
PHYSUEDO_000251-T1	N
PHYSUEDO_000252-T1	N
PHYSUEDO_000253-T1	N
PHYSUEDO_000254-T1	N
PHYSUEDO_000255-T1	N
PHYSUEDO_000256-T1	N
PHYSUEDO_000257-T1	N
PHYSUEDO_000258-T1	N
PHYSUEDO_000259-T1	N
PHYSUEDO_000260-T1	N
PHYSUEDO_000261-T1	N
PHYSUEDO_000262-T1	N
PHYSUEDO_000263-T1	N
PHYSUEDO_000264-T1	N
PHYSUEDO_000265-T1	N
PHYSUEDO_000266-T1	N
PHYSUEDO_000267-T1	N
PHYSUEDO_000268-T1	N
PHYSUEDO_000269-T1	N
PHYSUEDO_000270-T1	N
PHYSUEDO_000271-T1	N
PHYSUEDO_000272-T1	N
PHYSUEDO_000273-T1	N
PHYSUEDO_000274-T1	N
PHYSUEDO_000275-T1	N
PHYSUEDO_000276-T1	N
PHYSUEDO_000277-T1	N
PHYSUEDO_000278-T1	N
PHYSUEDO_000279-T1	N
PHYSUEDO_000280-T1	N
PHYSUEDO_000281-T1	N
PHYSUEDO_000282-T1	N
PHYSUEDO_000283-T1	N
PHYSUEDO_000284-T1	N
PHYSUEDO_000285-T1	N
PHYSUEDO_000286-T1	N
PHYSUEDO_000287-T1	N
PHYSUEDO_000288-T1	N
PHYSUEDO_000289-T1	N
PHYSUEDO_000290-T1	N
PHYSUEDO_000291-T1	N
PHYSUEDO_000292-T1	N
PHYSUEDO_000293-T1	N
PHYSUEDO_000294-T1	N
PHYSUEDO_000295-T1	N
PHYSUEDO_000296-T1	N
PHYSUEDO_000297-T1	N
PHYSUEDO_000298-T1	N
PHYSUEDO_000299-T1	N
PHYSUEDO_000300-T1	N
PHYSUEDO_000301-T1	N
PHYSUEDO_000302-T1	N
PHYSUEDO_000303-T1	N
PHYSUEDO_000304-T1	N
PHYSUEDO_000305-T1	N
PHYSUEDO_000306-T1	N
PHYSUEDO_000307-T1	N
PHYSUEDO_000308-T1	N
PHYSUEDO_000309-T1	N
PHYSUEDO_000310-T1	N
PHYSUEDO_000311-T1	N
PHYSUEDO_000312-T1	N
PHYSUEDO_000313-T1	N
PHYSUEDO_000314-T1	N
PHYSUEDO_000315-T1	N
PHYSUEDO_000316-T1	N
PHYSUEDO_000317-T1	N
PHYSUEDO_000318-T1	N
PHYSUEDO_000319-T1	N
PHYSUEDO_000320-T1	N
PHYSUEDO_000321-T1	N
PHYSUEDO_000322-T1	N
PHYSUEDO_000323-T1	N
PHYSUEDO_000324-T1	N
PHYSUEDO_000325-T1	N
PHYSUEDO_000326-T1	N
PHYSUEDO_000327-T1	N
PHYSUEDO_000328-T1	N
PHYSUEDO_000329-T1	N
PHYSUEDO_000330-T1	N
PHYSUEDO_000331-T1	N
PHYSUEDO_000332-T1	N
PHYSUEDO_000333-T1	N
PHYSUEDO_000334-T1	N
PHYSUEDO_000335-T1	N
PHYSUEDO_000336-T1	N
PHYSUEDO_000337-T1	N
PHYSUEDO_000338-T1	N
PHYSUEDO_000339-T1	N
PHYSUEDO_000340-T1	N
PHYSUEDO_000341-T1	N
PHYSUEDO_000342-T1	N
PHYSUEDO_000343-T1	N
PHYSUEDO_000344-T1	N
PHYSUEDO_000345-T1	N
PHYSUEDO_000346-T1	N
PHYSUEDO_000347-T1	N
PHYSUEDO_000348-T1	N
PHYSUEDO_000349-T1	N
PHYSUEDO_000350-T1	N
PHYSUEDO_000351-T1	N
PHYSUEDO_000352-T1	N
PHYSUEDO_000353-T1	Y
PHYSUEDO_000354-T1	N
PHYSUEDO_000355-T1	N
PHYSUEDO_000356-T1	N
PHYSUEDO_000357-T1	N
PHYSUEDO_000358-T1	N
PHYSUEDO_000359-T1	N
PHYSUEDO_000360-T1	N
PHYSUEDO_000361-T1	N
PHYSUEDO_000362-T1	N
PHYSUEDO_000363-T1	N
PHYSUEDO_000364-T1	Y
PHYSUEDO_000365-T1	N
PHYSUEDO_000366-T1	N
PHYSUEDO_000367-T1	N
PHYSUEDO_000368-T1	N
PHYSUEDO_000369-T1	N
PHYSUEDO_000370-T1	N
PHYSUEDO_000371-T1	N
PHYSUEDO_000372-T1	N
PHYSUEDO_000373-T1	N
PHYSUEDO_000374-T1	N
PHYSUEDO_000375-T1	N
PHYSUEDO_000376-T1	N
PHYSUEDO_000377-T1	N
PHYSUEDO_000378-T1	N
PHYSUEDO_000379-T1	N
PHYSUEDO_000380-T1	N
PHYSUEDO_000381-T1	N
PHYSUEDO_000382-T1	N
PHYSUEDO_000383-T1	N
PHYSUEDO_000384-T1	N
PHYSUEDO_000385-T1	N
PHYSUEDO_000386-T1	N
PHYSUEDO_000387-T1	N
PHYSUEDO_000388-T1	N
PHYSUEDO_000389-T1	N
PHYSUEDO_000390-T1	N
PHYSUEDO_000391-T1	N
PHYSUEDO_000392-T1	N
PHYSUEDO_000393-T1	N
PHYSUEDO_000394-T1	N
PHYSUEDO_000395-T1	N
PHYSUEDO_000396-T1	N
PHYSUEDO_000397-T1	N
PHYSUEDO_000398-T1	N
PHYSUEDO_000399-T1	N
PHYSUEDO_000400-T1	N
PHYSUEDO_000401-T1	N
PHYSUEDO_000402-T1	N
PHYSUEDO_000403-T1	N
PHYSUEDO_000404-T1	N
PHYSUEDO_000405-T1	N
PHYSUEDO_000406-T1	N
PHYSUEDO_000407-T1	N
PHYSUEDO_000409-T1	N
PHYSUEDO_000410-T1	N
PHYSUEDO_000411-T1	N
PHYSUEDO_000412-T1	N
PHYSUEDO_000413-T1	N
PHYSUEDO_000414-T1	N
PHYSUEDO_000415-T1	N
PHYSUEDO_000416-T1	N
PHYSUEDO_000417-T1	N
PHYSUEDO_000418-T1	N
PHYSUEDO_000419-T1	N
PHYSUEDO_000420-T1	N
PHYSUEDO_000421-T1	N
PHYSUEDO_000422-T1	N
PHYSUEDO_000423-T1	N
PHYSUEDO_000424-T1	N
PHYSUEDO_000425-T1	N
PHYSUEDO_000426-T1	N
PHYSUEDO_000427-T1	N
PHYSUEDO_000428-T1	N
PHYSUEDO_000429-T1	N
PHYSUEDO_000430-T1	N
PHYSUEDO_000431-T1	N
PHYSUEDO_000432-T1	N
PHYSUEDO_000433-T1	N
PHYSUEDO_000434-T1	N
PHYSUEDO_000435-T1	N
PHYSUEDO_000436-T1	N
PHYSUEDO_000437-T1	N
PHYSUEDO_000438-T1	N
PHYSUEDO_000439-T1	N
PHYSUEDO_000440-T1	N
PHYSUEDO_000441-T1	N
PHYSUEDO_000442-T1	N
PHYSUEDO_000443-T1	N
PHYSUEDO_000444-T1	N
PHYSUEDO_000445-T1	N
PHYSUEDO_000446-T1	N
PHYSUEDO_000447-T1	N
PHYSUEDO_000448-T1	N
PHYSUEDO_000449-T1	N
PHYSUEDO_000450-T1	N
PHYSUEDO_000451-T1	N
PHYSUEDO_000452-T1	N
PHYSUEDO_000453-T1	N
PHYSUEDO_000454-T1	N
PHYSUEDO_000455-T1	N
PHYSUEDO_000456-T1	N
PHYSUEDO_000457-T1	N
PHYSUEDO_000458-T1	N
PHYSUEDO_000459-T1	N
